"filename", "language", "XML", "JSON", "C#", "Properties", "Markdown", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\bin\Debug\net8.0\CASproject.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 12
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.dgspec.json", "JSON", 0, 73, 0, 0, 0, 0, 0, 73
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 16
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 9, 5, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 0, 1, 14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 1, 1, 9
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\project.assets.json", "JSON", 0, 79, 0, 0, 0, 0, 0, 79
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\CreatePredefinedStartup.cs", "C#", 0, 0, 11, 0, 0, 0, 1, 12
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\CreateSettingsStartup.cs", "C#", 0, 0, 38, 0, 0, 0, 1, 39
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.cs", "C#", 0, 0, 106, 0, 0, 37, 17, 160
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Setting.cs", "C#", 0, 0, 49, 0, 0, 15, 10, 74
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Command.cs", "C#", 0, 0, 159, 0, 0, 49, 45, 253
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\CreateCommandsStartup.cs", "C#", 0, 0, 217, 0, 0, 2, 4, 223
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\DefineFunction.cs", "C#", 0, 0, 20, 0, 0, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\DefineVariable.cs", "C#", 0, 0, 20, 0, 0, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\InformalCommand.cs", "C#", 0, 0, 10, 0, 0, 3, 2, 15
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\ListObjects.cs", "C#", 0, 0, 75, 0, 0, 3, 11, 89
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\RemoveObject.cs", "C#", 0, 0, 14, 0, 0, 0, 3, 17
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\SetSetting.cs", "C#", 0, 0, 15, 0, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Simple\Explain.cs", "C#", 0, 0, 69, 0, 0, 13, 17, 99
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Simple\GetTime.cs", "C#", 0, 0, 19, 0, 0, 0, 3, 22
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Simple\Help.cs", "C#", 0, 0, 15, 0, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Simple\Hide.cs", "C#", 0, 0, 15, 0, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Simple\Show.cs", "C#", 0, 0, 15, 0, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Write.cs", "C#", 0, 0, 36, 0, 0, 6, 10, 52
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Main.cs", "C#", 0, 0, 31, 0, 0, 1, 3, 35
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Add.cs", "C#", 0, 0, 83, 0, 0, 15, 17, 115
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Constant.cs", "C#", 0, 0, 20, 0, 0, 4, 9, 33
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Divide.cs", "C#", 0, 0, 70, 0, 0, 17, 17, 104
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal\CreateFormalFunctions.cs", "C#", 0, 0, 15, 0, 0, 0, 2, 17
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal\FormalFunction.cs", "C#", 0, 0, 18, 0, 0, 0, 3, 21
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal\Ln.cs", "C#", 0, 0, 24, 0, 0, 3, 12, 39
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal\MathWrapper.cs", "C#", 0, 0, 58, 0, 0, 3, 1, 62
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Function.cs", "C#", 0, 0, 33, 0, 0, 3, 5, 41
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\FunctionDefinition.cs", "C#", 0, 0, 16, 0, 0, 0, 3, 19
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\MathObject.cs", "C#", 0, 0, 63, 0, 0, 26, 16, 105
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Multiply.cs", "C#", 0, 0, 96, 0, 0, 15, 19, 130
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Operator.cs", "C#", 0, 0, 63, 0, 0, 19, 11, 93
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Power.cs", "C#", 0, 0, 61, 0, 0, 15, 17, 93
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Variable.cs", "C#", 0, 0, 24, 0, 0, 4, 8, 36
"Total", "-", 26, 193, 1597, 13, 378, 264, 426, 2897
